tweets,labels
bestrapperafricaever bra  nana wonkwanso gy wo ✌️  sxczx,Positive
yaa bra this side wobda 😎,Neutral
wode asem beba o ei the relationship cast,Negative
ibi we boys ahhh go marry them saa ohhh,Neutral
invictus invictus nyinaa saa all be settings 😤😤,Neutral
saa fishmonger agyuma nu yagyae wae,Negative
praying chelsea will not be next if you see somebody abodwe shiiing ntm ara sa nsuo si wode uhn,Positive
woti wiase wombbra bia nso wo p s wodecedis kdi million w sportybet in just day😂wo maame kraa y edwumamonth ansaana w’anyacedis,Negative
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏,Positive
ghana institute of journalism gij to hold akwaaba week celebrationthe student representative council src of the ghana institute of journalism gij in collaboration with the heads of the school  has organized an akwaba week celebration for freshers    sasxtk,Positive
saa ajuma fuu no dierr never again,Negative
eiii 🤣😂🤣😂 na wei nso fri henis this one of the measures put in place to solve the economic crises we are facing 😂😂😂 i cant think far,Positive
herh wadwen ay s pin what do you know about their terms huh… he’s not even fully under defjam nso you’re fooling 🤦‍♂️🤦‍♂️🤦‍♂️,Negative
bra log out 😂,Neutral
heat heat kpoooowaaaa sm fans nso ya montwitwi mu si kakraaa err😂,Negative
wodath nso want den,Neutral
motion happen nso o,Neutral
saa wen dat and where be dat,Neutral
the part we didnt see nkyia no de nfa bra 😂😂😂😂  sy,Neutral
i drop my momo number saa still natin comes out twsss time prove me wrong,Negative
saa mohm lol okay,Neutral
set akwaaba night for firstyear international students on your calendar and get ready  swz,Positive
season  episode  enjoy dstv akwaaba magic channel and go tv channel gbartey instagram,Positive
wodi yakyi a wabre wo kuro oop w’ahina na k wo nsuo ooi’m the king that you wanna besurely the best you would ever see 😊,Neutral
sister aba why ebririate or sɛ inebriate no ase kyerɛ sɛn 😁😁😁,Neutral
who is this elementwhere was he when proper media guys were working in the s and s gyimi kasa saa,Negative
fifa world cup  best young player enzo de fernandez akwaaba 💙👊🏾,Positive
meso saa yemi na m blame,Neutral
black rasta says efya day do drugs right hahaha 🤣🤣 very funny ebi your many way she carry do drugs anaaa masa stop this you be bra panini,Negative
ah wode where from the crying emoji …u make my heart cut,Negative
bra kojo will not come back again,Negative
akoa wei paaaa…questions bɛn nie 😂,Neutral
blakk rasta saa akoa gyimifo yi biom,Negative
don’t worry your team will soon join us we have won the champions league saa we need new trophies in our cabinet 😂,Negative
lets round it all upthe peak of the  ghiewine akwaaba week celebration is tonight‼️‼️🎊🎊🥳🥳🥳ghieakwaabawineakwaabauenrfreshers uenr,Positive
translation no nso y solid 😁,Positive
what will you gain from keeping all these songs to yourself huh bra    stcowqgrxwdlc,Negative
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏  sd,Neutral
bra kwaw let win today 🔥🔥,Positive
and who said pastors cant relate with things like football im a pure united fan and do like bruno but lets set records straight hes game yesterday was not up to the standard we know of him they lose the team loses u guys stop singling out players na mu p saa dodo,Negative
we have got you bra,Negative
akwaaba conference  echo of leadership is a program sprouted in unimacgij to help students grow their leadership skillsthe conference would take place in february and the management of echo of leadership have encouraged the student body to anticipate,Positive
so you’ve been attending satanic meetings ei bra nana yaw,Negative
diaspora fuor dier bibiaaaaa y phenomenal kraman nom nsuo po aa ysi phenomenal hoh,Neutral
wode mayas clothes look casual for some people in ghana only gh abeg oo how have the suits nana addon bawumia wore helped us gyimie saa ghana,Negative
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Negative
yes hes being betting about the bush saa,Negative
today is saturday bra fie medo,Neutral
i stare saa i never trip sef🤣,Positive
are we readylets stream ye na bra by quame saagent,Positive
chelsea signed bra kazim efo  from barcelona deal signed and here we go confirmed it’s all done with chelsea for €m fee plus add on up to €m package 🚨⚪️🔵 omkazim will land in chelsea in few minutes to complete medical testslast minutes are dangerous 😅😅😅,Negative
na goals no wode gye den mo bag anaa😹,Neutral
your  grandfather  wrote  it  for  him  right    kwaasia saa,Negative
the maiden edition of teinucc freshers akwaaba games was successful teinucc     earthquake christianatsu  srwuqtbxxd,Positive
amen and amen me bra🙏🏼  sruudasg,Positive
so bali is not visa free for ghanaians aww yehowa,Negative
landlord pink lase paaa na wahye nu saa nu,Negative
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏  soikinbyrw,Positive
everyday is a no bra day  lolz,Neutral
efuom a woasigne efuom player nso monma yenda oh,Negative
gari nso ny bad oo,Negative
you can never be nso da,Neutral
deirrr l’m not surprised saa girl nu wabon tu 😹😹,Negative
i can’t write letter nso oo🤣,Negative
bra emma dey bleed oo,Negative
masere saaa😃😃😃😃 comedian koraaa deɛ ɛyɛ ɔkyɛn kɔmedian😃,Neutral
sia ene bra ghana  soeb,Negative
we thank god for a successful program some pictures of the akwaaba games 🔥🔥,Positive
dont expose yourself bra,Positive
yabre mo 🤣💔fear women nso mo girls y  ne 🥲,Negative
lowkey efa nso dea fulham begye beye  o😂  shgdxbxi,Neutral
excerpts from just ended freshers akwaaba service,Neutral
bra kwaw i have been streaming your songs since frankly speaking i dont need nothing from you champ  your lifestyle is just a full motivation and its enough,Positive
me tie saa by wan awa nie atiabanku,Neutral
not too fast bra,Neutral
scenes from the exhibition debate  at the ghie akwaaba week grammar rhetoric logic  scjhafr,Neutral
😂😂😂eii saa okay,Neutral
na araba ne maame na na cheky doo nso erh 😀😀😀😃😃😛😛😛 big ups my captain,Positive
oh bra kojo u come here too,Neutral
herh wode wagyimi too much or you think everything revolves around your tiny brain kc y research nso aa wote ha gyimi,Negative
just bra fie,Positive
what will be the importance of tweeting earlier gimiii saa,Neutral
there is no difference between a bar and a bra because once those two are open men go crazy now imagine a woman called barbra,Negative
you can do it wode you are now a big man,Positive
wode maya is such blessing person congratulations 🎊 for this beautiful great achievement 💪 🙌   sjysjlufl,Positive
after world cup he chill saa,Positive
ah what is thissika pɛ bɛn nko,Neutral
you will buy and buy nso yn nhu hwee😂😂💔,Negative
wo ball foon na wo boie no wode permier league title ong,Negative
bra ghana 🇬🇭 aswear,Neutral
😂😂😂is too early bra kwesi,Neutral
pls kalyjay allow me use ur handle to address them kalyjay says mo gyai saa gyimii no lol,Negative
take that culture and shove it up your ass wo brofo ny nso wo pri culture 😂,Negative
lights out sɛn🤦🏾‍♂️,Neutral
ghanaian rapper  reveals he’s taking legal action against  for not properly crediting him on akwaaba he also reveals he doesn’t want to have anything to do with ghanaian producer  full video  stcooectbug,Positive
i want to see wode maya casually dressed in ‘cocoa sack’ and ‘abongo sandals’the ‘chale wati’ is unbearably making too much noise,Negative
na johani ka ho no be yohanechelsea fan de wode bible y den😂,Negative
february be month of love ❤️ nso i no get some 😞😞,Negative
another way of saying akwaaba,Neutral
factos …i remember when i sent a tweet of concern involving my sister in a beauty pageant your platform advertised and guess what…u highlighted everything and she got her solution…i am grateful bra sammy 🙏❤️,Positive
the action wasnt that much bia saa,Neutral
ɛyɛ gyimii na woogyimi and everyone knows trying to reply trash just for people to insult u purchasing a twitter blue just to fool bibinii ankasa deɛ,Negative
matching set ❤️🎀dross size  🎀bra size  c 🎀prizeghc swipe for details 🎈drossbynerty lingerieghana lingerieshopinghana allurebynetti  onlineshoppinh lingerieaddicts bra panties ghanagirls accra kumasi tarkoradi nationwidedelivery,Negative
ei saa then if this year end i go change am,Positive
bless me some bro i comment saa,Neutral
energy from bra,Positive
you have m and m players in your team who have just been in europe just months but you still dislike a player who have settle well in a league that ur team and my team player oh bra dont do that,Neutral
bra so yɛ guy,Positive
i wanted you to follow up on a story for me and you didnt even mind me eeeii annie saa,Negative
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Neutral
some folks just walk straight to the polling station collect the ballot paper and thump print without thinkinggymiii saa 😏,Negative
freshers akwaaba its was amazing and fantastic glory to the living god,Neutral
slim p beef bra err,Neutral
ogidi brown  broken heart produced by bra dondo,Neutral
so what is the problem with blakk rastabibinii nso y nipa o,Neutral
ah ɛyɛ asɛm ooo a referees ineptitude is been justified because of a players socalled mistake ah well,Negative
saa esallcee foc wei,Neutral
wodeɛ deɛnkeep spewing negativity on every issue wai,Negative
even nana addo nso p to,Positive
eiish bra p vawulence 🤣,Negative
asɛ ne education no nkɔ akyiri saa anaa me aa 🤔,Negative
akwaaba festival to project ghanaian culture  smu,Positive
it’s free money bra,Neutral
nana akwaaba💪🙏🏽hon queenstar maame pokuah sawyerr on sunday morning paid a courtesy call on the nsaba omanhene nana okreku mintah okese lll the newly installed chief of the nsaba traditional area and nananomnana okreku mintah okese lll in his full regalia🌹,Positive
honored by these dignified personnel at this akwaaba summit and club faircertified engineers by ghie,Positive
saddick adams  african footballwode maya  african youtube,Positive
hahahaha okt you don’t have money 💰 mpo nso u r signing,Negative
saa saa cos business is  business,Neutral
wo bɛ ma atɔfo wuo microphone a na ɛyɛ terry bonshaka nsɛm 🎤🕯🕯🕯,Neutral
you’re not the only one who adores bob marley and you’re not wiser than the marley family   nana aba anamoah replies blakk rasta hello  nana aba wo kɔ ka saa y dɛn 🤣🤣🤣,Negative
invite your fellow tipsters to bruh and this time make we the random win some cos we’re beginning to think that this giveaway thing is for a selected few bro cos eiiii   😂😂 wanna drop number saa  gabriel,Negative
bra county side mayn fa adwene 😉,Positive
chale you go tell we the management member then teammate all saa no gyimii no  seqtm,Negative
akwaaba we’re turntabl from ghana and londonchange is here experience the new and improved turntabl and visit out  scdwyhfdt to learn more see you at the revolution turntabl ghana accra africa technology newworld software softwareengineering  skcybgqx,Neutral
so you call the camry and babar shop achievements na wagyimi saa  not your fault cos some client cheap ein body make you see k so you figa you be chairman aboa bi kwa,Neutral
just  days more to the akwaaba nightget ready for a night to remember,Positive
bra wokasa dodo ahhh barima na wokasa saa no  i thought the men left the ranting for the females🙄,Negative
so if atsu dies its gods plan but if he is rescued then lets give praise to god ny saa,Neutral
chill bra,Positive
🤨 fooling saa why,Negative
have comments saa herh,Neutral
ɛnyɛ porno na nkrɔfoɔ yi rehwɛ no saa no,Negative
wode woto kese asi manim ah wose heartbreaking,Negative
s proud of you,Positive
aane ooo alanforallafa  sst,Neutral
aww bra how did u feel after saying this ☺️😔,Neutral
ah bra kwame your competition come,Positive
u see his link up with jordin sparks no nso🔥🇬🇭,Neutral
hw kwasia bi nsohe be shatta wale fan p,Negative
hwɛ pentecost hug bi nso 🤦🏽‍♂️ bbtitans,Neutral
you are doing the lord’s work bro  media fo nso y nipa  … no room for imbecility 🔥✊🏾,Neutral
olivia nso sre kakra errr 🤭🤭bbtitans,Neutral
nowplayingonpure⏯ ma me nso wo mu by  w   x  x  x    prod by,Negative
saa boy wei eer😂,Neutral
lol yoo,Positive
mi pa wu tsu yoo lol,Positive
ahoɔfɛ me ho yɛ papa na wo ɛ “  looool yoomsti odo hope ur good”,Positive
meda wo ase  wo backgroung foto no y fe paaghana map,Positive
mate wai bra am ffwn u  lol,Positive
hahahaha yes boss    medi wakyi di makyi bi wai,Positive
daabi o wonnii makyi hwɛ no yie na di makyi “  looolllmedi wakyi”,Positive
looolllmedi wakyi,Positive
anaa nso sɛ kɔwae kɛseɛ no “  okwhat is go tear da big one”,Positive
kɔhwan kɛseɛ no “  okwhat is go tear da big one”,Positive
yoo mate “  you have to teach me hw to w berra twi”,Positive
ooohh masa ma feele wo linez no,Neutral
lool yelssss   hwee nni brɔsɛm mu ampa “   whee ne brofosem bi”,Positive
looool   hahahaha mipawotsw may wai    medi wakyi di makyi bi wai,Positive
wode waye wadwen se wobe follow me followers nyinaa own,Positive
i have this strong feeling woy gina meboa,Positive
oic cousin aunty or uncle cant make u out cos of your avi ena woka twi saa nolol,Positive
wo y sure,Positive
tw y dn   ff bak,Positive
me too  kyɛ me baakoɛ  “ i have  phones now ”,Positive
kyɛ me baakoɛ  “ i have  phones now ”,Positive
maakye oo ma family,Positive
ɔdɔ foforɔ deɛ ɛyɛ fɛ na na awieɛtrue,Positive
saa  deɛn ntira “  wun ye serious craaa lol”,Positive
d ma guy  nsateaa nyinaa nyɛ pɛ,Positive
done  medi wakyi di makyi bi wai,Positive
lol   nakus medi wakyi di makyi bi wai,Positive
lol ryt at u   kwesisinc medi wakyi di makyi bi wai,Positive
medi wakyi wai wonnii makyi o “  nw ffnffb wai”,Positive
metare wo akyi   nf  ff bak homie,Positive
lol done   yaw medi wakyi di makyi bi wai,Positive
done my boss  medi wakyi di makyi bi wai,Positive
get it hot kayara amp klu  weed amp booze mixed by klumonsta,Positive
it is dan wai,Positive
ff u pls ffbck   medi wakyi di makyi bi wai,Positive
done   medi wakyi di makyi bi wai,Positive
yoo ɔhemaa “ done  medi wakyi di makyi bi wai”,Positive
ɛna ɛkɔsii sɛn ɛfiri sɛ wandi makyi “ lolz ma te,Positive
medi wakyi di makyi bi wailgtyes boss,Positive
mati wai   mesrɛ wo o manshɛ da afei medi wakyi   toldme  ff u buh ure nt ffn”,Positive
mesrɛ wo o manshɛ da afei medi wakyi   toldme  ff u buh ure nt ffn”,Positive
medi wakyi di makyi bi waiei wadi makyi paa nohomo ayt no pee,Positive
aane   ampa ara “tata truth   nya asɛm hwɛ na ɛhɔ na wobɛ hunu wo adɔfo”,Positive
truth   nya asɛm hwɛ na ɛhɔ na wobɛ hunu wo adɔfo,Positive
afei mahu “ umm checky biom    wonnii makyi o ɔbaasima”,Positive
mmo wayɛ adeɛ “ ryt behind yu    medi wakyi di makyi bi wai”,Positive
sɛbe “ oh oh oh u cant just say that rephrase ur sentence oo lol   lastbaebie medi wakyi di makyi bi wai”,Positive
oh oh oh u cant just say that rephrase ur sentence oo lol   lastbaebie medi wakyi di makyi bi wai,Positive
mmo ahoɔfɛɔ  lol ffn ryt baq   medi wakyi di makyi bi wai,Positive
saa saa saa na wu si lie bn,Positive
ampa     saa agorɔ yɛdɛ a yɛbɔ no ankɔɔ “ aww say it again oo   abusua nyɛ asafo na yabɔ agyai”,Positive
saa agorɔ yɛdɛ a yɛbɔ no ankɔɔ “ aww say it again oo   abusua nyɛ asafo na yabɔ agyai”,Positive
aww say it again oo   abusua nyɛ asafo na yabɔ agyai,Positive
yoooo lol,Positive
done boss    medi wakyi di makyi bi wai,Positive
du makyi paa   wu y passenger anaa    medi wakyi du makyi bi wai,Positive
da biara metena fidikani no nkyen “ wu y passenger anaa    medi wakyi du makyi bi wai”,Positive
onyame nadom ara “ how far,Positive
me nso saa ara “ me sr wo me nny gay loldone wae   blakkmynd medi wakyi du makyi bi wai”,Positive
me sr wo me nny gay loldone wae   blakkmynd medi wakyi du makyi bi wai,Positive
na wo e “  lol ok”,Positive
ɔhemaaba metare wakyi “  follow back”,Positive
mmo busumuru “ twitter for twi appyoo mati wai    medi wakyi di makyi bi wai”,Positive
twitter for twi appyoo mati wai    medi wakyi di makyi bi wai,Positive
yɛrepɛ no akye no anaa “ whoever is behind this account,Positive
mate wai  me nso saa ara “mikenkansah mepakyw meny gay lol   mikenkansah medi wakyi di makyi bi wai”,Positive
saa mennim o “   ahjuwa medi wakyi di makyi bi waiok but d has several meanings odone tho”,Positive
me nso saa ara “ mepakyw meny gay lol   mikenkansah medi wakyi di makyi bi wai”,Positive
smh  mepakyw meny gay lol   mikenkansah medi wakyi di makyi bi wai,Positive
mepakyw meny gay lol   mikenkansah medi wakyi di makyi bi wai,Positive
mmo ne yɔ “ lol done,Positive
lol  mmo ne yɔ “ eimwie wai  medi wakyi di makyi bi wai”,Positive
mmo ne yɔ “  following”,Positive
twierror   dua a ɛbɛwɔ yani no yɛtwa so yɛ rensensen anoo,Positive
mmo wayɛ adeɛ “  done and done”,Positive
mmo “ ℓ☺ℓ yoo mate    medi wakyi di makyi bi wai”,Positive
mmo “  lol done”,Positive
done oh    medi wakyi di makyi bi wai,Positive
medaase “ daabi o na alatafoɔ deɛ no yɛ dubaako na ɛyɛ mmerɛ no mu “ last time  happened was in,Positive
wayɛ adeɛ mmo “ nff  he tweets jx twi”,Positive
nokwɛrɛ “   it looks like u tweet only twieh”,Positive
heheeyoo,Positive
maakye “  gm”,Positive
meda woase “  done”,Positive
madi wakyi dada ahoɔfɛ “  hahahaha ff back bruv”,Positive
nokwɛrɛ “  samanpom soa kɔduru wo ni wu a na wabusua asatruetalk”,Positive
samanpom soa kɔduru wo ni wu a na wabusua asatruetalk,Positive
mmo “  chaley typical twi paa  thumbs up”,Positive
a se waeu r welkam swts,Positive
u re welcm   pibbiry ɔhemaa meda woase sɛ wadi makyi bi,Positive
meda wo ase wo nso saa “  be favoured”,Positive
mayɛ amma wo wai “  kindly ff bak”,Positive
akwaaba welcome  our latest followers,Positive
me y sorry wei,Positive
do you mean mo  you plural or mmo  well done twi,Positive
mewɔ ha mewɔfase wo honam mu ɛ “  hi”,Positive
its ampae not ampayɛ twi,Positive
u welcum   meda woase sɛ wodii makyi,Positive
yoo menso medawase se wo dii mekyi hahahahaha eeeei this twi is so ambiguous lol,Positive
wo nyɛ kurasenii nti no wo nte aseɛ “ please explain   nnua nyinaa rebɛ tene na yɛde deɛ wɔ hen ayɛ sɔduro”,Positive
please explain   nnua nyinaa rebɛ tene na yɛde deɛ wɔ hen ayɛ sɔduro,Positive
hmm brɔfo “ only animals dnt appreciated beauty”,Positive
amp  watch this gt,Positive
amp  watch this gt  s mrversatile ghana,Positive
u need twi lessons from    di otwa kwai ohu s ne chi achia,Positive
nodoubt  opanin dware wie a na nsuo asa,Positive
ɛyɛ me sɛ wobaa twitter so akyɛ ɛfiri sɛ da biara me tweete “ eeii where is  n his snippets of twi wisdom”,Positive
me dze wo egyir  nti y wild na ff me bi ai fantifriday,Positive
anigyeɛ nkoaa  “ mwuah xx,Positive
ahunu bi pɛn nti na aserewa regyegye ne ba kro a na wɔatwa nani ahwɛ nkyɛn eeiii dis deep,Positive
your translation is literal “  dadeɛ bi twa dadeɛ musome metal cut metal inside”,Positive
dadeɛ bi twa dadeɛ musome metal cut metal inside,Positive
ɔhene bɔ saa din yi wɔ badwa mu a wabɔ musuo “  oh saa lol”,Positive
oh saa lol,Positive
ayoo   saa na ɛteɛ “lykappacitynac twi teacher   wo nsa da mu a yɛnni nnya wo”,Positive
asɛm papa “ finally i understood one  ɔdɛnkyɛm da nsuo mu nso ɔnhomme nsuo ɔhome mframa”,Positive
finally i understood one  ɔdɛnkyɛm da nsuo mu nso ɔnhomme nsuo ɔhome mframa,Positive
baabi a wo yɔnko da ne wo dabrɛ ltlt exactly,Positive
thank you  gtgtgt   wo yɔnko asɛm ba a susu gu aseɛ nkyene na daakye wo nso wodeɛ bɛba,Positive
medaase  mayɛ wai ahoɔfɛ “  ff back ”,Positive
mayɛ wai ahoɔfɛ “  ff back ”,Positive
ma manigye yie s me y ghanani ne twi mu da h papapapapa teamghana,Positive
abɔfra a ɔse ɔremma ne maame nna no bɛntoa mpa ne to da miss those old african sayings keep em coming,Positive
ɛnyɛ nokwarɛ menhunuu sɛ wodi makyi “  mede wakyilol”,Positive
mede wakyilol,Positive
ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm “ ask   what is a word to the wise is enough,Positive
ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm  ask   what is a word to the wise is enough in twi,Positive
ɔba nyansafoɔ yɛbu no bɛ yɛnka no asɛm “ ask   what is a word to the wise is enough in twi”,Positive
noted    nsuo taa aponkyerani a wɔgye wɔɔ,Positive
mete nkwa mu yi deɛ neɛ onyame bɛyɛ ama me biara yɛ “ hey ma twi friendwoho tesn  nnipabɔnesɛm nti na yɛkyɛɛ din”,Positive
hey ma twi friendwoho tesn   nnipabɔnesɛm nti na yɛkyɛɛ din,Positive
ne nyinaa nie ɛɔɛɔ twa na fa tim neɛ woretwerɛ biara “   and  twi i beg how do i get tha t,Positive
ne nyinaa nie ɛɔɛɔ twa na fa tim neɛ woretwerɛ biara “   and  twi i beg how do i get tha twi alphabets”,Positive
di makyi bak done,Positive
plz i do not understand the twi  medi wakyi di makyi bi wai,Positive
wo rentae nkan twi ntira da biara wokan brɔfo “ it takes ages to understand  s tweets sometimeslmaoo”,Positive
osuo rebɛtɔ a mframa na ɛdi kan gtgt theres wind before a storm,Positive
"ff sogtgt         i ff jsst ask and its done
ff sogtgt          ff
ff bak sir
follow friday          v
ff so gt
follow friday          v
follow friday          v
follow friday          via
oh sori oo may wai   daabi o wonnii mak",Positive
eeii dz is quite interestindts nycc,Positive
aane o ahoɔfɛ “  r u seriuxxall ur tweets r in twiwowhmm dts nyc”,Positive
done wai   medi wakyi di makyi bi wai,Positive
kyer me reasons  enti aa mendi wkyilol medi agor medi wakyi tawee    medi wakyi di makyi bi wai,Positive
lol done    medi wakyi di makyi bi wai,Positive
nante yie anaa wone nyame nkɔ anaa nyame nfa wo nkɔ “  good bye y ka ne sen w twi mu”,Positive
good bye y ka ne sen w twi mu,Positive
wo backgroung foto no y fe paaghana map,Positive
lol true statement  adwuma bɔne ntesɛ krɔno”,Positive
yoo “  ohdidnt knw u werfa ky me wai”,Positive
ohdidnt knw u werfa ky me wai,Positive
i dey feel the twi level but how can you dii makyi like that follow na min follow wo,Positive
lolyooo mate wai,Positive
lol   ɛfaa mani so afei medi wakyi “ woboa wonni makyi biaa   cont,Neutral
metu mich di mawo watiwo y buei   haha yɛ tetee me wɔ kookoo ase  pearsweety u yr u an cont  sa,Positive
lol   ɔyɛ aboa anaa nipa “ u ve not met my fat friend     ɔsono akyi nni aboa”,Positive
ɔyɛ aboa anaa nipa “ u ve not met my fat friend     ɔsono akyi nni aboa”,Neutral
twitpic   u ve not met my fat friend     ɔsono akyi nni aboa,Positive
medi wakyi di makyi bi wai madi wakyi done,Positive
ampa “ pls check again   “ medi wakyi p    medi wakyi di makyi bi wai””,Positive
pls check again   “ medi wakyi p    medi wakyi di makyi bi wai”,Positive
ɛno na mkyerɛɛ woɔ no twa na fa tim cutamppaste ɛɔɛɔ “   how r u guys able to tweet with twi characters”,Positive
yoo mate boss   medi wakyi di makyi bi wai,Positive
metare wakyi “  ff bk”,Positive
lool yoo,Positive
saaa gd gd,Positive
the disgrace of the cassava is a shame to the okrobukom banku     bankye wɔ hɔ yi nanim gu ase a,Positive
the disgrace of the cassava is a shame to the okrobukom banku     bankye wɔ hɔ yi nanim gu ase a na nkruma afɛre,Positive
ɔdɔ metare wakyi “ nw ff ff bk wai”,Positive
oh ok  its like putting square pegs in round holes “  daabi nt dat  more,Positive
its like putting square pegs in round holes “  daabi nt dat im talkn abt dis »» ɛtire wɔ hɔ a yɛnshɛ kotodwe kyɛ”,Positive
daabi nt dat im talkn abt dis »»» ɛtire wɔ hɔ a yɛnshɛ kotodwe kyɛ,Positive
kwaku ananse ba ntinkuma na ɔkaa ne asɛm sɛ obi yɛ ne ho kwasia a na ɔde repɛ nyinikyɛdats on point mahn,Positive
ah who dat    medi wakyi di makyi bi wai  ya to sbi kakra hahaah metaa wakyi,Positive
ok  what the hell  effahpoku medi wakyi di makyi bi wai,Positive
hahaha u fool kk “   ohia asɛm nti akɔnɔ bɛkum ahiafoɔ kwa cc,Positive
saa woahunu mɛkyerɛ wo nanso mewɔ ɛpoagya na wowɔ ghana yi ɛbɛyɛ dɛn  wud want to learn more twiiii from ulool,Positive
metare wo akyi “ ff bk yh,Positive
looolffn done huh   medi wakyi di makyi bi wai,Positive
done wai   brakwame u didnt ff,Neutral
oh yeaaah i get it  medaase,Positive
mepa kyew whats the meaning of this proverb   wopam apɔnkye na wo anto no a wose ne ho bɔn,Positive
wat happened to the f as in lmfao hohoho   di makyiefiris menso medi wakyimeseremetoasilmfao,Positive
ahoɔfɛ metare wakyi “  di makyiefiris menso medi wakyimeseremetoasilmfao”,Positive
di makyiefiris menso medi wakyimeseremetoasilmfao,Positive
metare wakyi dada “ ff  fb”,Positive
metare wakyi “  ffbaklove ur tweets”,Positive
me nua mati wailol,Positive
yaa wonnii makyi “ lol ok    medi wakyi di makyi bi wai”,Positive
done   jeffyeb medi wakyi di makyi bi wai,Positive
ɔtɔfoɔ meda wo ano ase “ fancy ur style  man u rep gh”,Positive
lool done    medi wakyi di makyi bi wai,Positive
yup cant read n write    saa wahunu  “vickydarlin u gud wit the twi paaaa   cont,Positive
so u dont understand twi “  neɛ ɛdi wo akyi so kyɛn wo a ɛbɛyɛ den na ɛrensumsum woɔi dont get anything u tweet”,Positive
ɔhemaa medii wakyi no wo andi makyi bi saa ntira afei mebɔ wakyi “  boss na anka wo di makyi oona y dn”,Positive
mati wae my wa p de ama w lol,Positive
hmm “ ei wo di makyi yoo me di wo di bi wai  shesmaabenaa medi wakyi di makyi bi wai”,Positive
done  blaqboyshenzy medi wakyi di makyi bi wai,Positive
medi wakyi di makyi bi wai lolzmenso mede wakyi,Positive
ampa “   lool wama waka brɔfo”,Positive
lmao yoo mate  tete no na yɛnnua bi wɔ yɛ man mu no nti yɛ mpaninfoɔ amma no din  more  sh,Positive
tete no na yɛnnua bi wɔ yɛ man mu no nti yɛ mpaninfoɔ amma no din wɔtamɛlɔn “  twi ɔbenfo watermelon twi din yɛ deɛn”,Positive
twi ɔbenfo watermelon twi din yɛ deɛn,Positive
wow ghana hene fa haha,Positive
me merenyi me ho adi wɔ bɛdwam di makyi na menka ngu waso mu dm “  jst wana noe hu dis is”,Positive
mebɔ wo akyi “  m pakyo follow back”,Positive
mayɛ ama wo “  new free track blackshinobi,Positive
woyi deɛ ɛyɛ nɛɛmafoɔ nwom paa mo asom a black shinobimp  hulk share  music distribution platform,Positive
metare wakyi te sɛ kotrɛ tare dan ho no “ now following  ff back”,Positive
say again oo  ayɔnkofa dodoɔ nti na amma ɔkɔtɔ annya tire,Positive
metare wakyi “  yo im  are ffn you why dont you ff me back cheers”,Positive
yes sir  medi wakyi di makyi bi wai,Positive
lolnice one     medi wakyi di makyi bi wai,Positive
biribi saa “  so u can write englishlol”but i lyk da twi more,Positive
lol  biribi saa “  so u can write englishlol”,Positive
biribi saa “  so u can write englishlol”,Positive
loldone wai,Positive
into english  id appreciate if u cn translate ur tweets   abuburokosua adeɛ a ɛbɛyɛ yie no ɛnsei da,Positive
id appreciate if u cn translate ur tweets   abuburokosua adeɛ a ɛbɛyɛ yie no ɛnsei da,Positive
lol mate menua    medi wakyi di makyi bi wai,Positive
ur translation be wrong  wo annya neɛ worehwehwɔ wo ahunu the profane translation “  ok what,Positive
kɔ na te kɛseɛ no “  ok what about go and pluck da big one ”,Positive
wo annya neɛ worehwehwɔ wo ahunu the profane translation “  ok what about go and pluck da,Positive
wo annya neɛ worehwehwɔ wo ahunu the profane translation “  ok what about go and pluck da big one ”,Positive
te kɛseɛ no “  plss what is pluck da big one in twi”,Positive
plss what is pluck da big one in twi,Positive
hmm very true  ɔhɔhoɔ asɛm yɛ mmɔbɔ,Positive
adɛn onua nti sɛ obi twerɛ twi a ɛnyɛ ade pa anaa “  chale wats all,Positive
adɛn onua nti sɛ obi twerɛ twi a ɛnyɛ ade pa anaa “  chale wats all dis plenty twi u keep writing,Positive
adɛn onua nti sɛ obi twerɛ twi a ɛnyɛ ade pa anaa “  chale wats all dis plenty twi u keep writing mtcheww”,Negative
lol   ɛbɛtɔ da ɔkraman bɛsoa nam ama agyinamoa abɔ ho dɔnkomi,Positive
yes please “  medi wakyi di makyi bi wai”,Positive
yooo mati lol,Positive
medaase    ne nyinaa nni twa na fa tim cut and paste wo atwereye mu ɛɔ ɛɛ  ɔ ɔɔ ɛɔ ɛ  ɔ,Positive
where do i get the twi typo  ampa  nff  twi is the future hegotdat,Positive
ampa  nff  twi is the future hegotdat,Positive
eisshh wa nyini wo yɛ boss   ɛyɛ tete no o    saa saa na wo sch no yɛ  more,Positive
ɛyɛ tete no o    saa saa na wo sch no yɛ sɛn   metare wakyi cont,Positive
